relacionada_ma,classificacao_ambientalismo,id,casa,proposicao,sigla_tipo,numero,ano,ementa,tema,autor,link
NA,Positivo,2193043,camara,PL 1113/2019,PL,1113,2019,"Determina a proibição, em todo território nacional, da comercialização e o uso de coleiras que causem choques em animais.",Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193043
NA,Positivo,2193076,camara,PDL 43/2019,PDL,43,2019,"Susta os Atos do Ministério da Agricultura, Pecuária e Abastecimento (MAPA) expedidos em 2019, que concedem registros para novos produtos elaborados com agrotóxicos.","Agricultura, Pecuária, Pesca e Extrativismo",Alexandre Padilha,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193076
NA,Fora do tema,2193081,camara,PL 1118/2019,PL,1118,2019,"Obriga hipermercados, supermercados e estabelecimentos similares a disporem de local específico para a venda de produtos provenientes da agricultura familiar.","Agricultura, Pecuária, Pesca e Extrativismo",Marreca Filho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193081
NA,Positivo,2193097,camara,PL 1123/2019,PL,1123,2019,"Acrescenta dispositivos à Lei nº 8.171, de 17 de janeiro de 1991, para conceder estímulos aos proprietários rurais que desenvolvam a agricultura orgânica e outras atividades de preservação ambiental.","Agricultura, Pecuária, Pesca e Extrativismo",Rubens Otoni,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193097
NA,Fora do tema,2193081,camara,PL 1118/2019,PL,1118,2019,"Obriga hipermercados, supermercados e estabelecimentos similares a disporem de local específico para a venda de produtos provenientes da agricultura familiar.","Agricultura, Pecuária, Pesca e Extrativismo",Marreca Filho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193081
NA,Positivo,2193121,camara,PL 1130/2019,PL,1130,2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010 (que estabelece a Política Nacional de Segurança de Barragens - PNSB), para obrigar o órgão fiscalizador a instalar e manter serviço de disque-denúncia e para corresponsabilizar a alta direção de empreendimentos minerários pela segurança de barragens de rejeito.",Meio Ambiente e Desenvolvimento Sustentável,Jesus Sérgio,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193121
NA,Neutro - pl compleXO NÃO TENHO COMO AVALIAR,2193143,camara,PL 1134/2019,PL,1134,2019,Dispõe sobre a logística reversa de medicamentos.,Meio Ambiente e Desenvolvimento Sustentável,Amaro Neto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193143
NA,Negativo,2193190,camara,PL 1164/2019,PL,1164,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1988, para dispor sobre a responsabilidade de terceiro contratado para o transporte de madeira quando em desacordo com a licença outorgada pela autoridade competente.",Meio Ambiente e Desenvolvimento Sustentável,Lucio Mosquini,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193190
NA,Positivo,2193221,camara,PL 1176/2019,PL,1176,2019,"Altera a Lei n. 9.605, de 12 de fevereiro de 1998, para aumentar a pena do crime de fabricar, vender, transportar ou soltar balões que possam provocar incêndio.",Meio Ambiente e Desenvolvimento Sustentável,Lincoln Portela,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193221
NA,Positivo,2193241,camara,PL 1181/2019,PL,1181,2019,"Dispõe sobre a proibição da fabricação, comercialização e uso de canudos plásticos em todo o território nacional.",Meio Ambiente e Desenvolvimento Sustentável,Rui Falcão,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193241
NA,Neutro,2193330,camara,PL 1202/2019,PL,1202,2019,Institui a Semana Nacional de Promoção do Bem-estar Animal.,Meio Ambiente e Desenvolvimento Sustentável,Fábio Trad,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193330
NA,Neutro,2193395,camara,PL 1259/2019,PL,1259,2019,"Cria o VETMÓVEL, Serviço de Atendimento Itinerante Médico Veterinário.",Meio Ambiente e Desenvolvimento Sustentável,Juninho do Pneu,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193395
NA,Positivo,2193397,camara,PL 1261/2019,PL,1261,2019,Dispõe do descarte seguro de medicamentos vencidos.,Meio Ambiente e Desenvolvimento Sustentável,Juninho do Pneu,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193397
NA,Fora do tema,2193081,camara,PL 1118/2019,PL,1118,2019,"Obriga hipermercados, supermercados e estabelecimentos similares a disporem de local específico para a venda de produtos provenientes da agricultura familiar.","Agricultura, Pecuária, Pesca e Extrativismo",Marreca Filho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193081
NA,Positivo,2193604,camara,PL 1356/2019,PL,1356,2019,Assegura redução de Imposto de Exportação para produtos ecologicamente sustentáveis fabricados em território nacional.,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193604
NA,Fora do tema,2193081,camara,PL 1118/2019,PL,1118,2019,"Obriga hipermercados, supermercados e estabelecimentos similares a disporem de local específico para a venda de produtos provenientes da agricultura familiar.","Agricultura, Pecuária, Pesca e Extrativismo",Marreca Filho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193081
NA,Positivo,2193642,camara,PL 1371/2019,PL,1371,2019,"Dá nova redação ao artigo 33 da Lei nº 12.305, de 2 de agosto de 2010, para obrigar os comerciantes e distribuidores a receber dos consumidores os produtos sujeitos à logística reversa.",Meio Ambiente e Desenvolvimento Sustentável,Felipe Carreras,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193642
NA,Positivo,2193808,camara,PL 1441/2019,PL,1441,2019,Proíbe em todo o território nacional a realização de corridas competitivas com cães ou atividades similares de mesma natureza.,Meio Ambiente e Desenvolvimento Sustentável,Ricardo Izar; Weliton Prado,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193808
NA,Positivo,2193824,camara,PL 1456/2019,PL,1456,2019,"Dispõe sobre a recomendação obrigatória, por parte de restaurantes, bares e estabelecimentos comerciais similares, da utilização materiais reutilizáveis em detrimento de produtos descartáveis na prática de suas atividades.",Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193824
NA,Neutro,2193825,camara,PL 1457/2019,PL,1457,2019,"Cria, em todo território nacional, o selo ""Amigos dos Animais"" como forma de certificação oficial aos estabelecimentos privados ou públicos que promovam o bem-estar animal.",Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193825
NA,Positivo,2193952,camara,PL 1486/2019,PL,1486,2019,Dispõe sobre a proibição de construção de usinas hidrelétricas no Rio Paranapanema.,Meio Ambiente e Desenvolvimento Sustentável,Nilto Tatto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193952
NA,Positivo,2194103,camara,PL 1516/2019,PL,1516,2019,Dispõe sobre o tratamento do lixiviado em aterro sanitário.,Meio Ambiente e Desenvolvimento Sustentável,José Medeiros,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2194103
NA,Positivo,2194251,camara,PL 1522/2019,PL,1522,2019,Dispõe sobre os empreendimentos de turismo rural da agricultura familiar.,"Agricultura, Pecuária, Pesca e Extrativismo",Pastor Gildenemyr,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2194251
NA,Positivo,2194274,camara,PL 1524/2019,PL,1524,2019,Obriga produtores e fabricantes a inserir no corpo de seus produtos as informações referentes ao tempo de decomposição na natureza de suas embalagens e rótulos:,Meio Ambiente e Desenvolvimento Sustentável,Pedro Lucas Fernandes,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2194274
NA,Fora do tema,2193081,camara,PL 1118/2019,PL,1118,2019,"Obriga hipermercados, supermercados e estabelecimentos similares a disporem de local específico para a venda de produtos provenientes da agricultura familiar.","Agricultura, Pecuária, Pesca e Extrativismo",Marreca Filho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193081
NA,Positivo,2194541,camara,PL 1583/2019,PL,1583,2019,"Dispõe sobre a obrigação de restaurantes, bares, lanchonetes e estabelecimentos similares fornecerem guardanapos, canudos de plástico e palitos de dente embalados de forma individualizada e hermética, utilizando materiais oxibiodegradáveis.",Meio Ambiente e Desenvolvimento Sustentável,Luciano Ducci,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2194541
NA,Positivo,2194912,camara,PL 550/2019,PL,550,2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010 (Lei de Segurança de Barragens), para reforçar a efetividade da Política Nacional de Segurança de Barragens (PNSB); a Lei nº 9.433, de 8 de janeiro de 1997 (Lei das Águas), para dotar de novos instrumentos o Conselho Nacional de Recursos Hídricos (CNRH), no exercício de sua atribuição de zelar pela implementação da PNSB; a Lei nº 8.001, de 13 de março de 1990, para instituir o pagamento da Compensação Financeira pela Exploração de Recursos Minerais (CFEM) em caso de suspensão da produção devido a acidente ou rompimento de barragem; a Lei nº 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), para classificar como hediondo o crime de poluição ambiental com resultado morte; a Lei nº 9.605, de 12 de fevereiro de 1998 (Lei dos Crimes Ambientais), para tipificar o crime de poluição com resultado morte e determinar que, em situação de acidente, a multa por infração ambiental seja revertida à região afetada; a Lei nº 7.797, de 10 de julho de 1989 (Lei do Fundo Nacional do Meio Ambiente), para incluir, entre as aplicações financeiras prioritárias, a recuperação de áreas degradadas por acidentes ou desastres ambientais; e a Lei nº 12.608, de 10 de abril de 2012  (Lei da Defesa Civil), para determinar ao Sinpdec a manutenção de canal de comunicação para o recebimento de denúncias e informações relacionadas à segurança de barragens.  NOVA EMENTA: Altera a Lei nº 12.334, de 20 de setembro de 2010, que estabelece a Política Nacional de Segurança de Barragens (PNSB), a Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional do Meio Ambiente (FNMA), a Lei nº 9.433, de 8 de janeiro de 1997, que institui a Política Nacional de Recursos Hídricos, e o Decreto-Lei nº 227, de 28 de fevereiro de 1967 (Código de Mineração)",Meio Ambiente e Desenvolvimento Sustentável,Senado Federal - Leila Barros,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2194912
NA,Positivo,2195014,camara,PL 1675/2019,PL,1675,2019,"Altera a Lei nº 8.171, de 17 de janeiro de 1991, que dispõe sobre a Política Agrícola, acrescentando inciso para incluir incentivo à aquisição de equipamentos para a produção de energias renováveis não convencionais entre suas prioridades","Agricultura, Pecuária, Pesca e Extrativismo",Mara Rocha,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195014
NA,Positivo,2195050,camara,PL 1693/2019,PL,1693,2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, que estabelece a Política Nacional de Segurança de Barragens.",Meio Ambiente e Desenvolvimento Sustentável,Nilto Tatto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195050
NA,Positivo,2195484,camara,PL 1770/2019,PL,1770,2019,"Dispõe sobre a responsabilidade de gestores de empresas pela prática de crime, alterando a Lei nº 12.334, de 20 de setembro de 2010, que ""	estabelece a Política Nacional de Segurança de Barragens destinadas à acumulação de água para quaisquer usos, à disposição final ou temporária de rejeitos e à acumulação de resíduos industriais, cria o Sistema Nacional de Informações sobre Segurança de Barragens e altera a redação do art. 35 da Lei no 9.433, de 8 de janeiro de 1997, e do art. 4º da Lei no 9.984, de 17 de julho de 2000"".",Meio Ambiente e Desenvolvimento Sustentável,Gilberto Abramo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195484
NA,Positivo,2195536,camara,PL 1779/2019,PL,1779,2019,"Altera a Lei nº 12.305, de 2 de agosto de 2010, para possibilitar o uso tecnologias de monitoramento e rastreamento remoto no controle e fiscalização do gerenciamento de resíduos sólidos.",Meio Ambiente e Desenvolvimento Sustentável,David Soares,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195536
NA,Positivo,2195611,camara,PL 1788/2019,PL,1788,2019,Proibe a comercialização de pasta de dente com dupla embalagem.,Meio Ambiente e Desenvolvimento Sustentável,Marcon,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195611
NA,Positivo,2195731,camara,PL 1816/2019,PL,1816,2019,"Dispõe sobre a obrigação de clínicas e hospitais veterinários, ou estabelecimentos dedicados à higiene e beleza animal notificarem a delegacia de proteção ao meio ambiente quando constatarem indícios de maus tratos.",Meio Ambiente e Desenvolvimento Sustentável,Celso Sabino,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195731
NA,Positivo,2195775,camara,PLP 84/2019,PLP,84,2019,Concede benefícios tributários para produtores de alimentos orgânicos,"Agricultura, Pecuária, Pesca e Extrativismo",Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195775
NA,Positivo,2195866,camara,PL 1846/2019,PL,1846,2019,"Permite, em todo território nacional, a realização de eventos de adoções de cães e gatos em praças, parques e demais logradouros públicos",Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195866
NA,Neutro,2196029,camara,PL 1889/2019,PL,1889,2019,Dispõe sobre as Atividades de Controle e Inspeção de Produtos de Origem Animal,"Agricultura, Pecuária, Pesca e Extrativismo",Domingos Sávio,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196029
NA,Fora do tema,2193081,camara,PL 1118/2019,PL,1118,2019,"Obriga hipermercados, supermercados e estabelecimentos similares a disporem de local específico para a venda de produtos provenientes da agricultura familiar.","Agricultura, Pecuária, Pesca e Extrativismo",Marreca Filho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193081
NA,Positivo,2196462,camara,PL 1958/2019,PL,1958,2019,Dispõe sobre incentivos à geração de energia elétrica por fonte solar,Meio Ambiente e Desenvolvimento Sustentável,Helio Lopes,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196462
NA,Positivo,2196468,camara,PL 1963/2019,PL,1963,2019,Dispõe sobre o florestamento das áreas adjacentes às estradas e rodovias e a implantação de passagens de fauna.,Meio Ambiente e Desenvolvimento Sustentável,Helio Lopes,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196468
NA,Positivo,2196469,camara,PL 1964/2019,PL,1964,2019,Dispõe sobre incentivos à expansão do uso de energia elétrica para propulsão de veículos automotores.,Meio Ambiente e Desenvolvimento Sustentável,Helio Lopes,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196469
NA,Positivo,2196486,camara,PL 1970/2019,PL,1970,2019,"Institui a Política Nacional para o Manejo Sustentável, Plantio, Extração, Consumo, Comercialização e Transformação do Pequi e Demais Frutos e Produtos Nativos do Cerrado.","Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Rogério Correia,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196486
NA,Positivo,2196676,camara,PL 1995/2019,PL,1995,2019,Dispõe sobre o programa de compensação de Gases do Efeito Estufa em eventos realizados em área de domínio público,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196676
NA,Positivo,2196678,camara,PL 1996/2019,PL,1996,2019,Obriga o Poder Público e a iniciativa privada a priorizar a reintrodução de espécies similares ou compatíveis à vegetação local ao promover o reflorestamento,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196678
NA,Positivo,2196952,camara,PL 2069/2019,PL,2069,2019,Estabelece multa administrativa para aqueles que descartarem resíduos sólidos nas praias fora dos equipamentos destinados para este fim,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2196952
NA,Positivo,2197426,camara,PL 2191/2019,PL,2191,2019,"Alterar a Lei nº 12.305, de 2 de agosto de 2010, para incluir óleos e gorduras de uso culinário como produtos do sistema de logística reversa.",Meio Ambiente e Desenvolvimento Sustentável,Felipe Carreras,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2197426
NA,Fora do tema,2193081,camara,PL 1118/2019,PL,1118,2019,"Obriga hipermercados, supermercados e estabelecimentos similares a disporem de local específico para a venda de produtos provenientes da agricultura familiar.","Agricultura, Pecuária, Pesca e Extrativismo",Marreca Filho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193081
NA,Positivo,2197532,camara,PL 2204/2019,PL,2204,2019,"Dispõe sobre os empreendimentos de turismo rural, as responsabilidades de seus empreendedores e do poder público e dá outras providências.","Agricultura, Pecuária, Pesca e Extrativismo",Flavio Nogueira,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2197532
NA,Positivo,2197694,camara,PL 2226/2019,PL,2226,2019,"Dispões sobre o uso de bicicletas de propulsão elétrica, dotadas ou não de pedais acionados pelo condutor e de patinetes de propulsão elétrica. (PL Mobilidade Urbana Sustentável)",Meio Ambiente e Desenvolvimento Sustentável,Aureo Ribeiro,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2197694
NA,Positivo,2197747,camara,PL 2237/2019,PL,2237,2019,Estabelece diretrizes e normas para a garantia de atendimento aos princípios de bem-estar dos animais domésticos e silvestres.,Meio Ambiente e Desenvolvimento Sustentável,Ruy Carneiro,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2197747
NA,Fora do tema,2193081,camara,PL 1118/2019,PL,1118,2019,"Obriga hipermercados, supermercados e estabelecimentos similares a disporem de local específico para a venda de produtos provenientes da agricultura familiar.","Agricultura, Pecuária, Pesca e Extrativismo",Marreca Filho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2193081
NA,Positivo,2197956,camara,PDL 114/2019,PDL,114,2019,"Susta, nos termos do art. 49, V, da Constituição Federal, o Decreto nº 9.760, de 11 de abril de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008, que ""dispõe sobre as infrações e sanções administrativas ao meio ambiente e estabelece o processo administrativo federal para apuração destas infrações."".",Meio Ambiente e Desenvolvimento Sustentável,Alexandre Padilha; Arlindo Chinaglia; Assis Carvalho; Benedita da Silva; Beto Faro; Bohn Gass; Carlos Veras; Carlos Zarattini; Célio Moura; Enio Verri; Erika Kokay; Frei Anastacio Ribeiro; Gleisi Hoffmann; Helder Salomão; Henrique Fontana; João Daniel; Jorge Solla; José Airton Félix Cirilo; José Guimarães; José Ricardo; Joseildo Ramos; Leonardo Monteiro; Luizianne Lins; Marcon; Margarida Salomão; Maria do Rosário; Marília Arraes; Merlong Solano; Natália Bonavides; Nelson Pellegrino; Nilto Tatto; Odair Cunha; Padre João; Patrus Ananias; Paulão; Paulo Guedes; Paulo Pimenta; Paulo Teixeira; Pedro Uczai; Professora Rosa Neide; Reginaldo Lopes; Rejane Dias; Rogério Correia; Rubens Otoni; Rui Falcão; Valmir Assunção; Vander Loubet; Vicentinho; Waldenor Pereira; Zé Carlos; Zé Neto; Zeca Dirceu,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2197956
NA,Positivo,2197974,camara,PDL 117/2019,PDL,117,2019,"Susta, nos termos do art. 49, V, da Constituição, a aplicação do Decreto nº 9.760, de 11 de abril de 2019.",Meio Ambiente e Desenvolvimento Sustentável,Helder Salomão,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2197974
NA,Positivo,2198006,camara,PL 2275/2019,PL,2275,2019,Proíbe a comercialização de pilhas descartáveis,Meio Ambiente e Desenvolvimento Sustentável,Cássio Andrade,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198006
NA,Positivo,2198087,camara,PDL 124/2019,PDL,124,2019,"Susta os efeitos do Decreto nº 9.760, de 11 de abril de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008, que dispõe sobre as infrações e sanções administrativas ao meio ambiente e estabelece o processo administrativo federal para apuração destas infrações.",Meio Ambiente e Desenvolvimento Sustentável,Áurea Carolina; Edmilson Rodrigues; Fernanda Melchionna; Glauber Braga; Ivan Valente; Luiza Erundina; Marcelo Freixo; Talíria Petrone,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198087
NA,Positivo,2198136,camara,PL 2289/2019,PL,2289,2019,"Altera a Lei nº 9.985, de 18 de julho de 2000, que ""Regulamenta o art. 225, § 1º, incisos I, II, III e VII da Constituição Federal, institui o Sistema Nacional de Unidades de Conservação da Natureza e dá outras providências"", para proibir a utilização de copos e canudos descartáveis.",Meio Ambiente e Desenvolvimento Sustentável,Felipe Carreras,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198136
NA,Positivo,2198142,camara,PDL 130/2019,PDL,130,2019,"""Susta o Decreto nº 9.760, de 11 de abril de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008, que dispõe sobre as infrações e sanções administrativas ao meio ambiente e estabelece o processo administrativo federal para apuração destas infrações. """,Meio Ambiente e Desenvolvimento Sustentável,Nilto Tatto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198142
NA,Positivo,2198161,camara,PL 2293/2019,PL,2293,2019,"Dispõe sobre a obrigatoriedade de instalação de Sistema de Ecobarreiras na rede hidrográficas para contenção de resíduos sólidos em riachos, córregos, canais e rios que cortam as cidades e da outras providências.",Meio Ambiente e Desenvolvimento Sustentável,Vavá Martins,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198161
NA,Positivo,2198168,camara,PDL 133/2019,PDL,133,2019,"Susta os efeitos do Decreto nº 9.760, de 11 de abril de 2019, que ""Altera o Decreto nº 6.514, de 22 de julho de 2008, que dispõe sobre as infrações e sanções administrativas ao meio ambiente e estabelece o processo administrativo federal para apuração destas infrações"".",Meio Ambiente e Desenvolvimento Sustentável,José Guimarães,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198168
NA,Positivo,2198177,camara,PL 2297/2019,PL,2297,2019,"Altera a Lei nº 9.985, de 18 de julho de 2000, que ""Regulamenta o art. 225, § 1º, incisos I, II, III e VII da Constituição Federal, institui o Sistema Nacional de Unidades de Conservação da Natureza e dá outras providências"", para proibir a utilização de copos e canudos descartáveis de plástico.",Meio Ambiente e Desenvolvimento Sustentável,Felipe Carreras,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198177
NA,Positivo,2198218,camara,PL 2299/2019,PL,2299,2019,"Determina a proibição do uso de copos e canudos de plástico descartável não biodegradável pelas empresas de aviação civil com operação de pouso e decolagem em território nacional, e dá outras providências.",Meio Ambiente e Desenvolvimento Sustentável,Mário Heringer,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198218
NA,Neutro,2198325,camara,PL 2316/2019,PL,2316,2019,Cria aplicativo para dispositivo móvel que facilite a busca por animais domésticos desaparecidos,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198325
NA,Positivo,2198326,camara,PL 2317/2019,PL,2317,2019,Proíbe a adoção de animais por aqueles que forem condenados pelo crime de maus-tratos de animais.,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198326
NA,Positivo,2198329,camara,PL 2319/2019,PL,2319,2019,Dispõe sobre a promoção da Educação Ambiental em ambientes de grande circulação,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198329
NA,Positivo,2198331,camara,PL 2321/2019,PL,2321,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, para proibir que pessoas jurídicas que cometam o crime de maus-tratos aos animais possam celebrar contratos com a Administração Pública",Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198331
NA,Positivo,2198334,camara,PL 2323/2019,PL,2323,2019,"Determina a fixação de placas, por parte do Poder Público indicando a condição de balneabilidade das praias",Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198334
NA,Positivo,2198335,camara,PL 2324/2019,PL,2324,2019,Criminaliza a conduta de provocar contenda entre animais.,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198335
NA,Positivo,2198336,camara,PL 2325/2019,PL,2325,2019,Isenta produtos sustentáveis da incidência do Imposto sobre Produtos Industrializados (IPI),Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198336
NA,Positivo,2198338,camara,PDL 137/2019,PDL,137,2019,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, a Instrução Normativa nº 12, de 25 de março de 2019, do Ministério do Meio Ambiente/Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis",Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198338
NA,Positivo,2198438,camara,PL 2341/2019,PL,2341,2019,Dispõe sobre a Política Nacional de Incentivo ao Desenvolvimento da Apicultura e da Meliponicultura,"Agricultura, Pecuária, Pesca e Extrativismo",Mara Rocha,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198438
NA,Positivo,2198511,camara,PL 2360/2019,PL,2360,2019,"Inclui inciso ao artigo 5º da Lei nº 11.771, de 17 de setembro de 2008, que dispõe sobre a Política Nacional de Turismo.","Agricultura, Pecuária, Pesca e Extrativismo",Damião Feliciano,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198511
NA,Positivo,2198592,camara,PL 2387/2019,PL,2387,2019,"Proíbe a queima de pneus e outros objetos correlatos que causem prejuízos à saúde e ao meio ambiente, inclusive, em manifestações públicas em todo Território Brasileiro.",Meio Ambiente e Desenvolvimento Sustentável,Pastor Sargento Isidório,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198592
NA,Positivo,2198921,camara,PL 2448/2019,PL,2448,2019,Dispõe sobre a cassação da inscrição estadual de empresas que provoquem maus-tratos a animais e dá outras providências.,Meio Ambiente e Desenvolvimento Sustentável,Boca Aberta,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2198921
NA,Neutro - PERCISA AVALIAR MELHOR NÃO DÁ PRA EMITIR PARECER SEM EXAME DETALHADA,2199057,camara,PL 2475/2019,PL,2475,2019,"Dispõe sobre a Política Nacional de Biocombustíveis Florestais e altera a Lei nº 10.336, de 19 de dezembro de 2001.O Congresso Nacional decreta:",Meio Ambiente e Desenvolvimento Sustentável,Jose Mario Schreiner,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2199057
NA,Positivo,2199158,camara,PL 2495/2019,PL,2495,2019,Dispõe sobre a atenção continuada à saúde de pessoas atingidas por desastres ambientais.,Meio Ambiente e Desenvolvimento Sustentável,Erika Kokay,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2199158
