orientacao_ma,is_nominal,nome_proposicao,ementa_proposicao,obj_votacao,resumo,data,autor,tema,uri_tramitacao,id_proposicao,id_votacao,casa
NÃO,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do destaque do Bloco PP/MDB/PTB, que solicita votação do DTQ 7, apresentado pelo PSB, que pede a votação em separado do §3º do art. 68 da Lei 12651/2012, contido no art. 1º do PLV nº 9/2019, para que seja apreciado em 1º lugar, logo após a apreciação do PLV - DTQ 12.",Aprovado o DTQ 12. Sim: 241; não: 18; abstenção: 2; total: 261.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-82,camara
NÃO,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação, quanto ao mérito, em turno único.","Aprovada a Medida Provisória nº 867, de 2018, na forma do Projeto de Lei de Conversão nº 9, de 2019, ressalvados os destaques. Sim: 243; não: 19; abstenção: 2; total: 264.",NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-80,camara
NÃO,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do Requerimento dos Srs. Líderes, que solicita a votação em globo de admissibilidade dos destaques simples.",Aprovado o Requerimento. Sim: 245; não: 12; abstenção: 1; total: 258.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-76,camara
SIM,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.","Votação do destaque da bancada do CIDADANIA, que solicita votação do texto original da MPV para que tenha preferência quanto ao Projeto de Lei de Conversão 9/19 - DTQ 4.",Rejeitado o Requerimento. Sim: 118; não: 262; total: 380.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-72,camara
SIM,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",Votação preliminar em turno único.,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN. Sim: 247; não: 12; abstenção: 1; total: 260.",NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-69,camara
SIM,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",Continuação da votação em turno único.,Rejeitado o Requerimento. Sim: 15; não: 240; abstenção: 2; total: 257.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-66,camara
NÃO,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",Votação preliminar em turno único.,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN. Sim: 293; não: 15; abstenção: 4; total: 312.",NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-60,camara
SIM,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",NA,Rejeitado o Requerimento. Sim 16: não: 265; abstenção: 2; total: 283.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-57,camara
SIM,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",NA,Rejeitado o Requerimento. Sim: 15; não: 246; abstenção: 2; total: 263.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-54,camara
NÃO,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",NA,Aprovado o Requerimento. Sim: 287; não: 20; abstenção: 2; total: 309.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-50,camara
SIM,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",NA,Rejeitado o Requerimento. Sim: 17; não: 256; abstenção: 3; total: 276.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-47,camara
SIM,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",NA,Rejeitado o Requerimento. Sim: 64; não: 202; abstenção: 1; total: 267.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-40,camara
SIM,1,MPV 867/2018,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre a extensão do prazo para adesão ao Programa de Regularização Ambiental.

NOVA EMENTA: Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental e o Cadastro Ambiental Rural.",NA,Rejeitado o Requerimento. Sim: 8; não: 280; abstenção: 1; total: 289.,NA,"Poder Executivo, Poder Executivo","Estrutura Fundiária, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2190237,2190237,2190237-37,camara
NÃO,1,PL 2787/2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998 (Lei de Crimes Ambientais), para tipificar o crime de ecocídio e a conduta delitiva do responsável por desastre relativo a rompimento de barragem, e dá outras providências.

NOVA EMENTA: Altera a Lei nº 9.605, de 12 de fevereiro de 1998, para tipificar o crime de ecocídio e a conduta delitiva do responsável por desastre relativo a rompimento de barragem; e dá outras providências.",NA,Rejeitado o Requerimento. Sim: 29; não: 244; abstenção: 1; total: 274.,NA,"Zé Silva - SOLIDARI/MG, Leonardo Monteiro - PT/MG, Greyce Elias - AVANTE/MG, Gilberto Abramo - PRB/MG, Igor Timo - PODE/MG, Áurea Carolina - PSOL/MG, Júlio Delgado - PSB/MG, Hercílio Coelho Diniz - MDB/MG, Dr. Frederico - PATRI/MG, Lucas Gonzalez - NOVO/MG, Rogério Correia - PT/MG, Padre João - PT/MG","Direito Penal e Processual Penal, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2201529,2201529,2201529-33,camara
NA,1,PL 5028/2019,"Institui a Política Nacional de Pagamento por Serviços Ambientais e dá outras providências. 

NOVA EMENTA: Institui a Política Nacional de Pagamento por Serviços Ambientais; e altera as Leis nºs 8.212, de 24 de julho de 1991, 8.629, de 25 de fevereiro de 1993, e 6.015, de 31 de dezembro de 1973, para adequá-las à nova política.","Votação do DTQ 1: PSOL: Destaque para votação em separado do parágrafo único do Art. 21 do substitutivo do Senado Federal apresentado ao PL n° 5028 de 2019, para sua supressão. (art. 161, I).",Suprimido o texto. Sim: 2; não: 269; abstenção: 1; total 272.,NA,Rubens Bueno - PPS/PR,"Administração Pública, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=946475,946475,946475-138,camara
NA,1,PL 5028/2019,"Institui a Política Nacional de Pagamento por Serviços Ambientais e dá outras providências. 

NOVA EMENTA: Institui a Política Nacional de Pagamento por Serviços Ambientais; e altera as Leis nºs 8.212, de 24 de julho de 1991, 8.629, de 25 de fevereiro de 1993, e 6.015, de 31 de dezembro de 1973, para adequá-las à nova política.",Votação em turno único.,"Aprovado o Substitutivo do Senado Federal ao Projeto de Lei nº 312-B, de 2015, ressalvados os destques. Sim: 298; não: 2; abstenção: 2 total: 302.",NA,Rubens Bueno - PPS/PR,"Administração Pública, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=946475,946475,946475-131,camara
NA,1,PL 5028/2019,"Institui a Política Nacional de Pagamento por Serviços Ambientais e dá outras providências. 

NOVA EMENTA: Institui a Política Nacional de Pagamento por Serviços Ambientais; e altera as Leis nºs 8.212, de 24 de julho de 1991, 8.629, de 25 de fevereiro de 1993, e 6.015, de 31 de dezembro de 1973, para adequá-las à nova política.",NA,Rejeitado o Requerimento. Não: 292; abstenção: 2; total: 294.,NA,Rubens Bueno - PPS/PR,"Administração Pública, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=946475,946475,946475-129,camara
NA,1,PL 5028/2019,"Institui a Política Nacional de Pagamento por Serviços Ambientais e dá outras providências. 

NOVA EMENTA: Institui a Política Nacional de Pagamento por Serviços Ambientais; e altera as Leis nºs 8.212, de 24 de julho de 1991, 8.629, de 25 de fevereiro de 1993, e 6.015, de 31 de dezembro de 1973, para adequá-las à nova política.",NA,Rejeitado o Requerimento. Não: 254; abstenção: 4; total: 258.,NA,Rubens Bueno - PPS/PR,"Administração Pública, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=946475,946475,946475-127,camara
NA,1,PL 5028/2019,"Institui a Política Nacional de Pagamento por Serviços Ambientais e dá outras providências. 

NOVA EMENTA: Institui a Política Nacional de Pagamento por Serviços Ambientais; e altera as Leis nºs 8.212, de 24 de julho de 1991, 8.629, de 25 de fevereiro de 1993, e 6.015, de 31 de dezembro de 1973, para adequá-las à nova política.",NA,Rejeitado o Requerimento. Sim: 6; não: 257; abstenção: 1; total: 264.,NA,Rubens Bueno - PPS/PR,"Administração Pública, Meio Ambiente e Desenvolvimento Sustentável",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=946475,946475,946475-111,camara
NA,1,PL 4348/2019,"Altera a Lei n. 11.952, de 25 de junho de 2009, no seu Art. 40-A.

NOVA EMENTA: Altera o art. 40-A da Lei nº 11.952, de 25 de junho de 2009.",NA,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 325; não:18; abstenção: 1 ; total: 344.,NA,Silas Câmara - PRB/AM,Estrutura Fundiária,https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2214203,2214203,2215381-8,camara
LIBERADO,1,MPV 897/2019,"Institui o Fundo de Aval Fraterno, dispõe sobre o patrimônio de afetação de propriedades rurais, a Cédula Imobiliária Rural, a escrituração de títulos de crédito e a concessão de subvenção econômica para empresas cerealistas, e dá outras providências.

NOVA EMENTA:Institui o Fundo Garantidor Solidário (FGS); dispõe sobre o patrimônio rural em afetação, a Cédula Imobiliária Rural (CIR), a escrituração de títulos de crédito e a concessão de subvenção econômica para empresas cerealistas; altera as Leis nºs 8.427, de 27 de maio de 1992, 8.929, de 22 de agosto de 1994, 11.076, de 30 de dezembro de 2004, 10.931, de 2 de agosto de 2004, 12.865, de 9 de outubro de 2013, 5.709, de 7 de outubro de 1971, 6.634, de 2 de maio de 1979, 6.015, de 31 de dezembro de 1973, 7.827, de 27 de setembro de 1989, 8.212, de 24 de julho de 1991, 10.169, de 29 de dezembro de 2000, 11.116, de 18 de maio de 2005, 12.810, de 15 de maio de 2013, 13.340, de 28 de setembro de 2016, 13.576, de 26 de dezembro de 2017, e o Decreto-Lei nº 167, de 14 de fevereiro de 1967; revoga dispositivos das Leis nºs 4.728, de 14 de julho de 1965, e 13.476, de 28 de agosto de 2017, e dos Decretos-Leis nºs 13, de 18 de julho de 1966; 14, de 29 de julho de 1966; e 73, de 21 de novembro de 1966; e dá outras providências.","Votação do DTQ 2: PT: Destaque do inciso VII do art. 64, do PLV n. 30/2019, apresentado à MPV n. 897/2019 (161, I).",Mantido o texto. Sim: 303; não: 98;  total: 401.,NA,"Poder Executivo, Poder Executivo","Agricultura, Pecuária, Pesca e Extrativismo, Economia, Finanças Públicas e Orçamento",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2222884,2222884,2222884-104,camara
LIBERADO,1,MPV 897/2019,"Institui o Fundo de Aval Fraterno, dispõe sobre o patrimônio de afetação de propriedades rurais, a Cédula Imobiliária Rural, a escrituração de títulos de crédito e a concessão de subvenção econômica para empresas cerealistas, e dá outras providências.

NOVA EMENTA:Institui o Fundo Garantidor Solidário (FGS); dispõe sobre o patrimônio rural em afetação, a Cédula Imobiliária Rural (CIR), a escrituração de títulos de crédito e a concessão de subvenção econômica para empresas cerealistas; altera as Leis nºs 8.427, de 27 de maio de 1992, 8.929, de 22 de agosto de 1994, 11.076, de 30 de dezembro de 2004, 10.931, de 2 de agosto de 2004, 12.865, de 9 de outubro de 2013, 5.709, de 7 de outubro de 1971, 6.634, de 2 de maio de 1979, 6.015, de 31 de dezembro de 1973, 7.827, de 27 de setembro de 1989, 8.212, de 24 de julho de 1991, 10.169, de 29 de dezembro de 2000, 11.116, de 18 de maio de 2005, 12.810, de 15 de maio de 2013, 13.340, de 28 de setembro de 2016, 13.576, de 26 de dezembro de 2017, e o Decreto-Lei nº 167, de 14 de fevereiro de 1967; revoga dispositivos das Leis nºs 4.728, de 14 de julho de 1965, e 13.476, de 28 de agosto de 2017, e dos Decretos-Leis nºs 13, de 18 de julho de 1966; 14, de 29 de julho de 1966; e 73, de 21 de novembro de 1966; e dá outras providências.",Continuação da votação em turno único.,Rejeitado o Requerimento. Sim: 3; não: 334; total: 337.,NA,"Poder Executivo, Poder Executivo","Agricultura, Pecuária, Pesca e Extrativismo, Economia, Finanças Públicas e Orçamento",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2222884,2222884,2222884-98,camara
LIBERADO,1,MPV 897/2019,"Institui o Fundo de Aval Fraterno, dispõe sobre o patrimônio de afetação de propriedades rurais, a Cédula Imobiliária Rural, a escrituração de títulos de crédito e a concessão de subvenção econômica para empresas cerealistas, e dá outras providências.

NOVA EMENTA:Institui o Fundo Garantidor Solidário (FGS); dispõe sobre o patrimônio rural em afetação, a Cédula Imobiliária Rural (CIR), a escrituração de títulos de crédito e a concessão de subvenção econômica para empresas cerealistas; altera as Leis nºs 8.427, de 27 de maio de 1992, 8.929, de 22 de agosto de 1994, 11.076, de 30 de dezembro de 2004, 10.931, de 2 de agosto de 2004, 12.865, de 9 de outubro de 2013, 5.709, de 7 de outubro de 1971, 6.634, de 2 de maio de 1979, 6.015, de 31 de dezembro de 1973, 7.827, de 27 de setembro de 1989, 8.212, de 24 de julho de 1991, 10.169, de 29 de dezembro de 2000, 11.116, de 18 de maio de 2005, 12.810, de 15 de maio de 2013, 13.340, de 28 de setembro de 2016, 13.576, de 26 de dezembro de 2017, e o Decreto-Lei nº 167, de 14 de fevereiro de 1967; revoga dispositivos das Leis nºs 4.728, de 14 de julho de 1965, e 13.476, de 28 de agosto de 2017, e dos Decretos-Leis nºs 13, de 18 de julho de 1966; 14, de 29 de julho de 1966; e 73, de 21 de novembro de 1966; e dá outras providências.","Votação do DTQ 5: Democratas: Emenda 78 (161, II).",Aprovada a Emenda nº 78. Sim: 259; não: 27;  total: 286.,NA,"Poder Executivo, Poder Executivo","Agricultura, Pecuária, Pesca e Extrativismo, Economia, Finanças Públicas e Orçamento",https://camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2222884,2222884,2222884-88,camara
